frame,hip_R_3d,hip_R_xy,hip_R_yz,hip_R_xz,knee_R_3d,knee_R_xy,knee_R_yz,knee_R_xz,ankle_R_3d,ankle_R_xy,ankle_R_yz,ankle_R_xz,hip_L_3d,hip_L_xy,hip_L_yz,hip_L_xz,knee_L_3d,knee_L_xy,knee_L_yz,knee_L_xz,ankle_L_3d,ankle_L_xy,ankle_L_yz,ankle_L_xz,pelvic_yz,pelvic_xz,28_x,28_y,28_z,27_x,27_y,27_z,24_x,23_x,11_y,12_y,pelvis_z,knee_xy_r,knee_xy_l,ankle_xy_r,ankle_xy_l,knee_xy,ankle_xy,img_w,img_h,scale_cm_per_px
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
